option_id,selector,text,role,aria_label,checked,expanded,checkbox,hierarchical,clickable,virtualized,contains_sullana,contains_luciano,class
11,div,Todas,,,,,False,False,True,False,False,False,visual customPadding allow-deferred-rendering visual-slicer
12,div,"DESCRIP, codpre_(Aún no se ha aplicado)",,,,,False,False,False,False,False,False,slicer-header-title
13,div,(Aún no se ha aplicado),,,,,False,False,False,False,False,False,slicer-header-pending-text
14,div,"Periodo más antiguo

202104

Periodo más reciente

202604",group,2 elementos,,,False,False,False,True,False,False,visualContainerGroup unselectable isChildSelected hideGroupBorder
15,div,"Periodo más antiguo

202104",group,,,,False,False,True,True,False,False,visualContainer unselectable readMode hideBorder noVisualTitle visualHeaderAbove droppableElement ui-droppable
16,div,"Periodo más reciente

202604",group,,,,False,False,True,True,False,False,visualContainer unselectable readMode hideBorder noVisualTitle visualHeaderAbove droppableElement ui-droppable
17,div,"Años
Meses",group,,,,False,False,True,True,False,False,visualContainer unselectable readMode hideBorder visualHeaderAbove droppableElement ui-droppable noVisualTitle
18,div,Años,gridcell,,,,False,False,False,False,False,False,small-multiples-grid-cell
19,div,Meses,gridcell,,,,False,False,False,False,False,False,small-multiples-grid-cell
20,div,"Filtros
Tabla 1 (país)
Tabla det. 2 (DISA)
Tabla det. 3 (EESS)
Tabla det. 4 (UE)
Gráfico acum.
Gráfico por cód
Gráfico Disp.",group,9 elementos,,,False,False,True,False,False,False,visualContainerGroup unselectable isChildSelected hideGroupBorder
21,div,Filtros,link,Marcador . Mostrar Panel de filtros,,,False,False,False,False,False,False,visualContainer unselectable readMode hideBorder paddingDisabled noVisualTitle visualHeaderAbove droppableElement ui-droppable
22,div,"ATC
Todas",,,,,False,False,False,False,False,False,visualContent noVisualContainerHeader noPopOutBar
23,div,ATC,,,,,False,False,True,False,False,False,visualTitleArea
24,div,"ATC01, ATC02, ATC03, ATC04, ATC05(Aún no se ha aplicado)",,,,,False,False,False,False,False,False,slicer-header-title
25,div,"Tipo de Suministro
Todas",group,Tipo de Suministro ,,,False,False,True,False,False,False,visualContainer unselectable readMode hideBorder visualHeaderAbove droppableElement ui-droppable
26,div,Tipo de Suministro,,,,,False,False,False,False,False,False,visualTitleArea
27,div,tipsum(Aún no se ha aplicado),,,,,False,False,False,False,False,False,slicer-header-title
28,div,"EE.SS. Ejecutoras
Todas",group,EE.SS. Ejecutoras ,,,False,False,True,False,False,False,visualContainer unselectable readMode hideBorder visualHeaderAbove droppableElement ui-droppable
29,div,EE.SS. Ejecutoras,,,,,False,False,False,False,False,False,visualTitleArea
30,div,ue_2(Aún no se ha aplicado),,,,,False,False,False,False,False,False,slicer-header-title
31,div,"Petitorio
Todas",group,Petitorio ,,,False,False,True,False,False,False,visualContainer unselectable readMode hideBorder visualHeaderAbove droppableElement ui-droppable
32,div,Petitorio,,,,,False,False,False,False,False,False,visualTitleArea
33,div,petitorio_0(Aún no se ha aplicado),,,,,False,False,False,False,False,False,slicer-header-title
34,div,"Periodo
Todas",group,Periodo ,,,False,False,True,False,False,False,visualContainer unselectable readMode hideBorder visualHeaderAbove droppableElement ui-droppable
35,div,Periodo,,,,,False,False,False,False,False,False,visualTitleArea
36,div,"anno, Periodo (201901 - 2022), tipsum(Aún no se ha aplicado)",,,,,False,False,False,False,False,False,slicer-header-title
37,div,"Tipo EE.SS.
Todas",group,Tipo EE.SS. ,,,False,False,True,False,False,False,visualContainer unselectable readMode hideBorder visualHeaderAbove droppableElement ui-droppable
38,div,Tipo EE.SS.,,,,,False,False,False,False,False,False,visualTitleArea
39,div,Tipo IPRESS(Aún no se ha aplicado),,,,,False,False,False,False,False,False,slicer-header-title
40,div,"Se recomienda seleccionar los datos por producto o por grupo de productos. Para seleccionar varios elementos, se debe mantener presionada la tecla ""Ctrl"" mientras se adiciona los ítems.

* El precio ICI del reporte fue incluido al análisis desde Enero del 2019. ** en los gráficos se ha añadido los campos de consumo más significativos, por lo que puede que la suma de este detalle no sea siempre lo mismo que el consumo",group,,,,False,False,True,True,False,False,visualContainer unselectable readMode hideBorder noVisualTitle visualHeaderAbove droppableElement ui-droppable
41,span,Permite mostrar los métodos abreviados de teclado.,button,Permite mostrar los métodos abreviados de teclado.,,,False,False,False,False,False,False,link pbi-focus-outline
42,span,Pasar al contenido principal,button,Pasar al contenido principal,,,False,False,False,False,False,False,link pbi-focus-outline
43,span,"Se recomienda seleccionar los datos por producto o por grupo de productos. Para seleccionar varios elementos, se debe mantener presionada la tecla ""Ctrl"" mientras se adiciona los ítems.",,,,,False,False,True,False,False,False,textRun
44,span,"* El precio ICI del reporte fue incluido al análisis desde Enero del 2019. ** en los gráficos se ha añadido los campos de consumo más significativos, por lo que puede que la suma de este detalle no sea siempre lo mismo que el consumo",,,,,False,False,True,False,False,False,textRun
45,span,GESTIÓN DE INFORMACIÓN SISMED- EAM/DFAU/DIGEMID/DVMSP/MINSA,,,,,False,False,False,False,False,False,textRun
46,span,Microsoft Power BI,,,,,False,False,True,False,False,False,text
47,span,1de1,,,,,False,False,False,False,False,False,
48,span,1,,,,,False,False,False,False,False,False,innerText
49,span,de,,,,,False,False,False,False,False,False,innerText
50,span,BOT. FARMAJUNIN TARMA - JUNIN,,,,,False,False,False,False,False,False,slicerText
51,span,C.M.I. BUENOS AIRES DE VILLA,,,,,False,False,False,False,False,False,slicerText
52,span,C.M.I. JUAN PABLO II,,,,,False,False,False,False,False,False,slicerText
53,span,C.M.I. LINCE,,,,,False,False,False,False,False,False,slicerText
54,span,C.S. BAÑOS DEL INCA,,,,,False,False,False,False,False,False,slicerText
55,span,C.S. CABANA,,,,,False,False,False,False,False,False,slicerText
56,span,C.S. CABANILLAS,,,,,False,False,False,False,False,False,slicerText
57,span,C.S. CAMICACHI,,,,,False,False,False,False,False,False,slicerText
58,span,P,,,,,False,False,False,False,False,False,slicerText
59,span,AISPED,,,,,False,False,False,False,False,False,slicerText
60,span,CENTRO,,,,,False,False,False,False,False,False,slicerText
61,span,FARMACIA INSTITUCIONAL,,,,,False,False,False,False,False,False,slicerText
62,span,HOSPITAL,,,,,False,False,False,False,False,False,slicerText
63,span,INSTITUTO,,,,,False,False,False,False,False,False,slicerText
64,span,OTROS,,,,,False,False,False,False,False,False,slicerText
65,span,PUESTO,,,,,False,False,False,False,False,False,slicerText
66,span,SAMU,,,,,False,False,False,False,False,False,slicerText
67,label,Seleccionar fila,,,,,False,False,False,False,False,False,visually-hidden 
68,li,Mostrar consejos para el lector de pantalla,,,,,False,False,False,False,False,False,
69,li,Tabla,,,,,False,False,False,False,False,False,sectionItemHidden animated
70,[role='option'],FARMACIA INST…,option,FARMACIA INSTITUCIONAL,,,False,False,False,False,False,False,legend-item flex-justify-content-center flex-align-items-center
