node_id,nombre,categoria,demand_mean_kg,demand_std_kg,demand_cv,cold_chain_demand,calibration_status,calibration_method,calibration_source,confidence_level,notes
1977,CENTRO DE SALUD TAMBOGRANDE,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
1978,CENTRO DE SALUD SAN ISIDRO,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
1986,PUESTO DE SALUD CHICA ALTA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
1987,PUESTO DE SALUD SINCHI ROCA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
1988,PUESTO DE SALUD LAS MONICAS,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
1996,CP3 - SAN MARTIN,OTRO,300.0,75.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2001,CENTRO DE SALUD BELLAVISTA,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2011,CENTRO DE SALUD SANTA TERESITA,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2012,"CENTRO DE SALUD ""VILLA PRIMAVERA""",CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2016,CANAL MOCHO-CIENEGUILLO SUR,OTRO,300.0,75.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2017,CENTRO DE SALUD NUEVO SULLANA,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2018,CENTRO DE SALUD COMUNIDAD SALUDABLE,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2019,CENTRO DE SALUD MIGUEL CHECA,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2020,PUESTO DE SALUD JIBITO,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2022,PUESTO DE SALUD LA ISLILLA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2023,PUESTO DE SALUD YACILA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2024,PUESTO DE SALUD SAN LUCAS DE COLAN,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2025,CENTRO DE SALUD EL ARENAL,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2026,"CENTRO DE SALUD ""PUEBLO NUEVO DE COLAN""",CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2027,CENTRO DE SALUD LA HUACA,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2028,CENTRO DE SALUD VIVIATE,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2029,PUESTO DE SALUD NOMARA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2030,MACACARA,OTRO,300.0,75.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2032,CENTRO DE SALUD MARCAVELICA,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2033,PUESTO DE SALUD MALLARITOS,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2035,PUESTO DE SALUD MALLARES,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2037,PUESTO DE SALUD TANGARARA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2038,PUESTO DE SALUD SAMAN,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2040,PUESTO DE SALUD LA NORIA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2042,CENTRO DE SALUD IGNACIO ESCUDERO,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2043,PUESTO DE SALUD SAN JUAN DE LA VIRGEN,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2044,PUESTO DE SALUD MONTE LIMA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2045,PUESTO DE SALUD SANTA SOFIA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2046,PUESTO DE SALUD SAN MIGUEL,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2047,PUESTO DE SALUD AMOTAPE,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2048,PUESTO DE SALUD EL TAMBO,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2049,CENTRO DE SALUD TAMARINDO,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2050,CENTRO DE SALUD QUERECOTILLO,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2052,PUESTO DE SALUD SAN FRANCISCO DE CHOCAN,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2056,PUESTO DE SALUD PUENTE DE LOS SERRANOS,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2058,CENTRO DE SALUD SALITRAL,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2060,CENTRO DE SALUD LANCONES,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2065,PUESTO DE SALUD EL ALAMOR,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2073,CENTRO DE SALUD JOSE ABELARDO QUINONES,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2074,CENTRO DE SALUD TALARA II,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2075,CENTRO DE SALUD NEGRITOS,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2076,PUESTO DE SALUD SAN PABLO,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2077,PUESTO DE SALUD LOBITOS,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2078,CENTRO DE SALUD VICHAYAL,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2079,PUESTO DE SALUD MIRAMAR,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2080,"CENTRO DE SALUD ""LOS ORGANOS""",CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2081,PUESTO DE SALUD EL ÑURO,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
2083,PUESTO DE SALUD CABO BLANCO,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
6627,CENTRO DE SALUD MANCORA,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
7718,PUESTO DE SALUD FELIPE SANTIAGO SALAVERRY,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
10726,PUESTO DE SALUD JORAS,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
10727,PUESTO DE SALUD SOCCHABAMBA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
19125,PUESTO DE SALUD HUALCUY,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
19837,PUESTO DE SALUD RODEOPAMPA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
19844,PUESTO DE SALUD HUILCO,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,MODELO_CENTRAL_HVRPTW_v1,LOW,Requiere calibracion SISMED. CS=500kg PS=200kg OTRO=300kg estimados por nivel de atencion
