node_id,nombre,categoria,demand_mean,demand_std,demand_cv,cold_chain_demand,calibration_status,calibration_source,calibration_notes
1942,PUESTO DE SALUD GARABATOS,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
1943,CENTRO DE SALUD EL PARTIDOR,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
1944,PUESTO SALUD LA MENTA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
1945,CENTRO DE SALUD SUYO,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
1953,PUESTO DE SALUD SANTA ANA DE QUIROZ,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
1955,CENTRO DE SALUD SAPILLICA,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
1959,CENTRO DE SALUD PAIMAS,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
1962,CENTRO DE SALUD JILILI,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
1965,CENTRO DE SALUD LAGUNAS,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
1970,CENTRO DE SALUD MONTERO,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
1974,CENTRO DE SALUD SICCHEZ,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
1977,CENTRO DE SALUD TAMBOGRANDE,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
1978,CENTRO DE SALUD SAN ISIDRO,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
1986,PUESTO DE SALUD CHICA ALTA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
1987,PUESTO DE SALUD SINCHI ROCA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
1988,PUESTO DE SALUD LAS MONICAS,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
1996,CP3 - SAN MARTIN,OTRO,300.0,75.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2001,CENTRO DE SALUD BELLAVISTA,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2011,CENTRO DE SALUD SANTA TERESITA,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2012,"CENTRO DE SALUD ""VILLA PRIMAVERA""",CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2016,CANAL MOCHO-CIENEGUILLO SUR,OTRO,300.0,75.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2017,CENTRO DE SALUD NUEVO SULLANA,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2018,CENTRO DE SALUD COMUNIDAD SALUDABLE,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2019,CENTRO DE SALUD MIGUEL CHECA,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2020,PUESTO DE SALUD JIBITO,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2022,PUESTO DE SALUD LA ISLILLA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2023,PUESTO DE SALUD YACILA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2024,PUESTO DE SALUD SAN LUCAS DE COLAN,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2025,CENTRO DE SALUD EL ARENAL,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2026,"CENTRO DE SALUD ""PUEBLO NUEVO DE COLAN""",CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2027,CENTRO DE SALUD LA HUACA,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2028,CENTRO DE SALUD VIVIATE,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2029,PUESTO DE SALUD NOMARA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2030,MACACARA,OTRO,300.0,75.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2032,CENTRO DE SALUD MARCAVELICA,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2033,PUESTO DE SALUD MALLARITOS,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2035,PUESTO DE SALUD MALLARES,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2037,PUESTO DE SALUD TANGARARA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2038,PUESTO DE SALUD SAMAN,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2040,PUESTO DE SALUD LA NORIA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2042,CENTRO DE SALUD IGNACIO ESCUDERO,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2043,PUESTO DE SALUD SAN JUAN DE LA VIRGEN,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2044,PUESTO DE SALUD MONTE LIMA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2045,PUESTO DE SALUD SANTA SOFIA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2046,PUESTO DE SALUD SAN MIGUEL,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2047,PUESTO DE SALUD AMOTAPE,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2048,PUESTO DE SALUD EL TAMBO,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2049,CENTRO DE SALUD TAMARINDO,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2050,CENTRO DE SALUD QUERECOTILLO,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2052,PUESTO DE SALUD SAN FRANCISCO DE CHOCAN,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2056,PUESTO DE SALUD PUENTE DE LOS SERRANOS,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2058,CENTRO DE SALUD SALITRAL,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2060,CENTRO DE SALUD LANCONES,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2065,PUESTO DE SALUD EL ALAMOR,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2073,CENTRO DE SALUD JOSE ABELARDO QUINONES,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2074,CENTRO DE SALUD TALARA II,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2075,CENTRO DE SALUD NEGRITOS,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2076,PUESTO DE SALUD SAN PABLO,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2077,PUESTO DE SALUD LOBITOS,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2078,CENTRO DE SALUD VICHAYAL,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2079,PUESTO DE SALUD MIRAMAR,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2080,"CENTRO DE SALUD ""LOS ORGANOS""",CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2081,PUESTO DE SALUD EL ÑURO,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
2083,PUESTO DE SALUD CABO BLANCO,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
6627,CENTRO DE SALUD MANCORA,CENTRO DE SALUD,500.0,100.0,0.2,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
7718,PUESTO DE SALUD FELIPE SANTIAGO SALAVERRY,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
10726,PUESTO DE SALUD JORAS,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
10727,PUESTO DE SALUD SOCCHABAMBA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
19125,PUESTO DE SALUD HUALCUY,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
19837,PUESTO DE SALUD RODEOPAMPA,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
19844,PUESTO DE SALUD HUILCO,PUESTO DE SALUD,200.0,50.0,0.25,0,PLACEHOLDER,ESTIMATED_BY_CATEGORY,Requiere calibracion con datos SISMED reales
